nUMIs	nGenes	cell_type
1669	751	B
1463	617	B
3428	866	B
2984	940	B
7294	1760	T
2177	964	T
681	399	B
587	401	B
3610	1276	B
2533	1020	T
647	447	B
3272	1038	B
8930	2190	B
883	574	B
2586	1092	T
4250	1335	B
663	419	B
2513	895	B
2211	857	B
2636	957	B
1924	876	B
2575	924	B
1989	911	B
3276	870	B
2981	856	B
586	362	B
3759	1148	T
3542	1058	B
3370	943	B
8594	1930	T
1056	617	B
11148	2306	T
586	384	B
3586	1047	B
3658	1124	T
5104	1547	B
1564	779	B
1889	1102	T
2055	642	T
4325	1477	T
3296	952	B
3464	1196	B
4774	1297	B
5218	1663	B
599	357	T
2333	786	B
1451	697	B
2492	829	B
4157	1469	B
1466	770	B
1763	690	B
1797	789	B
4301	1160	B
1062	608	B
6906	1905	B
3219	837	B
3015	1161	B
2091	866	B
1302	575	B
10053	2309	T
1955	883	B
4241	1145	B
2602	861	B
4905	1268	B
3860	1365	B
1449	755	B
10509	2692	T
2281	855	T
3167	1003	B
3608	1352	T
1163	516	B
3227	1009	B
2360	878	B
3034	802	B
1957	950	B
861	527	T
3734	870	B
4802	1513	B
3960	1140	B
6437	2069	B
796	416	B
1323	765	B
2485	873	B
5658	1596	T
3307	974	B
3279	986	B
2450	1122	B
3020	1201	T
1967	867	T
4532	1147	B
2768	1183	B
3021	1070	T
4755	1451	B
3491	958	B
3066	805	B
971	476	B
3636	545	B
1508	487	B
1810	728	B
2514	927	B
790	490	B
2186	969	B
2206	941	B
3222	1104	B
3534	1029	B
4976	1880	B
7101	1887	B
929	525	B
3625	1326	T
4024	1661	T
1336	707	B
4255	1175	B
2608	785	B
5681	1690	T
2151	659	B
4204	1052	B
5154	1642	T
3385	1180	T
3944	1356	B
4633	1097	B
625	394	B
5791	1749	B
4322	1177	T
3413	1118	T
2578	802	B
2319	1003	T
6129	1811	B
3231	950	B
2441	788	B
2375	1029	B
3332	840	B
7090	1966	B
3151	887	B
3336	1344	T
6596	1815	B
2059	767	T
8462	2101	T
3495	1067	B
4699	1282	B
2903	805	B
6354	1634	B
2439	711	B
748	109	B
4400	1037	B
4079	1125	B
3580	1065	B
2130	826	B
3218	993	B
3192	912	B
1667	970	B
3882	1424	B
1624	919	B
4984	1399	T
1152	562	B
2318	992	T
3803	1031	B
2747	880	B
4324	1447	B
3517	1302	B
2311	730	B
2319	950	B
3672	1061	T
3689	1285	B
6424	1854	B
1859	702	B
2174	958	B
2302	1026	B
1343	613	B
7527	2115	B
5120	1601	B
1527	734	B
3185	1233	B
8125	2195	B
2144	1057	B
622	378	B
1467	827	B
2444	963	B
2691	904	B
2277	799	T
3694	1213	B
3482	1252	B
2687	843	B
1553	672	B
855	575	B
7322	1975	B
3545	1134	B
1770	740	B
709	398	T
3277	916	B
3814	1060	B
2298	1019	B
640	438	B
3069	916	B
6123	1905	B
10444	2071	T
2546	980	T
3664	1014	T
1526	884	T
3774	1269	B
5639	1776	B
5152	1555	B
2542	902	T
880	568	B
811	432	B
534	364	B
2263	722	B
3875	1096	B
2706	1079	B
1422	589	T
1864	792	T
2962	870	B
2595	1032	B
2963	1003	B
3256	949	B
4374	1286	B
701	424	B
3343	1034	B
3907	1339	B
2830	1171	B
531	294	B
3530	1045	B
3237	971	B
4119	1325	B
4955	1301	T
2709	1043	T
2288	881	B
1087	481	B
3361	1312	B
2453	804	B
521	349	B
1373	670	B
1449	642	B
1042	524	T
3025	812	B
4260	1379	T
5348	1308	T
6095	1932	B
4555	1449	T
1938	736	B
1696	600	B
3492	1023	B
2761	1071	B
4029	1458	T
2852	1105	B
7767	2070	T
843	542	B
6219	1652	B
677	408	B
3955	1218	B
3257	901	B
2641	929	B
895	439	B
7359	2540	B
1674	650	B
2679	821	B
3151	791	B
505	326	B
4343	1170	B
1807	819	B
1953	975	B
501	335	B
2149	948	B
2524	759	B
2069	896	B
6230	1893	T
702	370	T
3241	996	B
2849	1024	B
2817	935	B
3410	1198	B
2465	1038	B
2535	1007	T
2710	853	B
619	306	B
2448	1073	B
678	428	B
5233	1554	B
627	430	B
3023	731	B
863	492	B
6203	1779	B
3776	1145	B
818	364	B
1839	764	B
5774	1807	B
6794	1968	T
9208	2424	T
2511	744	B
3666	1070	B
1644	812	B
2605	958	B
2817	1051	B
1059	665	B
3707	1279	B
1660	633	B
2320	1004	B
5901	1414	T
1629	860	B
1913	832	B
652	394	B
5313	1507	B
2445	750	B
4108	1044	B
3708	1029	B
3452	1303	B
1546	631	B
1088	526	B
4069	1302	B
2365	785	B
3836	1430	B
1281	594	B
3265	1004	B
2329	1059	B
842	517	B
2907	974	T
2357	1114	B
3749	1004	B
3382	981	B
6001	1734	B
1054	575	B
2374	948	B
2627	834	B
3737	1266	B
6082	1662	B
3404	1244	B
1001	529	B
1579	746	B
2313	961	T
3932	1191	B
1117	593	T
1998	1111	T
3071	1048	B
1707	707	B
1517	608	T
2173	773	B
1936	704	B
1182	508	B
1847	696	B
3913	932	B
2622	1063	B
1140	595	B
4887	1376	T
2052	768	B
2969	1059	T
3265	1121	B
5814	1836	T
2346	958	B
731	456	B
3405	1051	T
1315	598	B
2401	671	B
2584	1058	B
2400	834	B
1936	864	B
3604	1243	T
3289	1171	B
2021	728	B
1435	578	B
2523	828	B
1501	748	T
7588	2016	B
6098	1913	T
4690	1205	B
2149	717	B
5688	1217	B
4253	1149	B
4203	1119	B
3785	1109	T
2787	1125	T
3594	1373	B
2278	759	B
4064	629	B
4717	1381	B
4679	1504	B
866	561	T
748	480	B
805	519	B
2980	1077	B
2133	897	T
6168	1624	B
3888	1076	B
3216	906	B
3688	1044	B
2631	739	B
1163	581	B
1115	544	T
2382	844	B
1657	745	B
2575	803	B
1078	432	B
1585	700	B
1549	742	B
1693	855	B
861	433	B
1480	676	B
1030	563	B
2775	1087	B
1906	998	B
891	591	T
1334	727	B
1908	685	B
1405	594	T
2522	643	B
2205	849	T
812	524	B
2131	696	B
2466	917	B
4132	1191	B
3605	1030	B
3340	1089	B
2422	1143	B
1635	724	B
3225	1207	B
3101	1093	B
2439	953	B
4583	1445	T
10287	2655	T
5755	1809	B
2691	786	T
1220	588	B
1414	654	B
1342	566	B
6932	1939	T
1739	822	B
4243	1399	B
925	471	B
1684	809	T
1712	524	B
977	591	B
4137	1242	B
2543	701	B
2692	835	B
2571	821	T
3356	946	T
3244	974	B
11717	2563	B
10649	2655	B
4402	1529	T
814	413	B
1738	762	T
1427	678	B
2518	767	B
556	393	B
2396	809	B
613	368	T
2807	1140	B
935	468	T
3167	830	B
1820	779	T
3796	1122	B
1983	622	B
5820	1761	T
665	375	B
1606	835	B
3619	1034	B
1156	481	T
4543	1478	B
683	348	B
4147	1263	B
5802	1742	B
3155	900	B
3326	1063	B
2337	922	T
2999	1108	T
3341	991	B
1805	575	T
5921	1682	B
1159	546	B
4407	1353	T
520	327	T
3377	1047	B
3230	976	B
4715	1472	B
832	452	B
1047	518	B
5570	1840	B
1827	676	B
3829	1148	B
3358	883	B
7438	1735	B
2595	1155	B
3241	886	B
4313	1052	B
3072	1110	B
2571	1087	B
1549	561	B
2576	777	T
2573	975	B
4536	1424	B
3731	996	B
2840	1083	B
2668	842	B
1010	494	B
3047	1096	B
2897	950	T
2326	938	B
1693	895	B
3188	1297	B
1907	593	B
684	417	B
2654	1014	B
3839	1335	B
3408	974	B
1031	640	B
2731	884	B
3414	957	B
4493	1392	T
969	534	B
1029	549	B
3325	1393	T
5899	1734	B
1592	665	B
1921	693	B
2750	1101	B
640	435	B
4627	1499	B
2517	1192	B
2202	836	T
5430	1812	B
812	505	B
1696	687	B
775	417	B
6004	1812	T
1981	882	B
5074	1463	B
1038	579	B
2784	1081	B
2032	653	T
1147	627	B
2223	922	B
2951	879	B
3062	927	B
2104	679	B
2817	1067	T
2136	742	B
3714	1234	B
4488	1109	B
1985	847	B
7512	1858	B
2020	820	B
1289	521	B
2582	872	B
3096	1195	T
609	390	B
625	85	B
3450	1100	B
6060	1833	T
5089	1715	T
4987	1681	B
4539	1346	B
3879	1352	B
2821	1011	B
4386	1393	B
2054	612	B
1655	707	B
992	545	B
4866	1378	B
3481	1195	B
2528	691	T
3088	696	T
3519	1105	B
1922	690	B
2665	711	B
951	479	B
638	392	B
3136	1211	B
3062	1231	T
4811	1504	B
1670	655	B
2804	884	B
3081	952	T
1519	686	B
610	383	B
5442	1812	B
1039	497	B
3645	1288	B
5660	1671	T
2867	973	B
